dataset_id,model,pathway,intervention,n_donors,delta_expected_age_mean_mean,delta_expected_age_mean_ci_low,delta_expected_age_mean_ci_high,delta_expected_age_mean_ci_flag,delta_old_prob_mean_mean,delta_old_prob_mean_ci_low,delta_old_prob_mean_ci_high,delta_old_prob_mean_ci_flag,delta_balanced_accuracy_mean,delta_balanced_accuracy_ci_low,delta_balanced_accuracy_ci_high,delta_balanced_accuracy_ci_flag,delta_pathway_activation_mean_mean,delta_pathway_activation_mean_ci_low,delta_pathway_activation_mean_ci_high,delta_pathway_activation_mean_ci_flag
aida_phase1_v2,geneformer,inflammation_nfkb,ablate,424,-0.026458415263933457,-0.07137759170183686,0.018211892568979215,uncertain,-0.0045027287662510376,-0.021865493773593928,0.012353952792931056,uncertain,,,,uncertain,-0.4066457695284867,-0.4371026579824931,-0.378559739393718,negative
aida_phase1_v2,geneformer,inflammation_nfkb,old_push,424,0.05825201507288237,0.014555098352480821,0.10293632944985388,positive,0.011819516147106803,-0.005463176965334589,0.028802469196327864,uncertain,,,,uncertain,-1.1834633223551,-1.183463326135317,-1.1834633186127457,negative
aida_phase1_v2,geneformer,inflammation_nfkb,random_push,424,-0.09113578806232411,-0.13704635633012527,-0.045584116107692654,negative,-0.013176718241922833,-0.030355680356796425,0.003848411212468536,uncertain,,,,uncertain,0.0,0.0,0.0,uncertain
aida_phase1_v2,geneformer,inflammation_nfkb,young_push,424,-0.22348991367009083,-0.2713353726929273,-0.1766217336536763,negative,-0.039873917626403584,-0.05741112469169464,-0.02285196913723707,negative,,,,uncertain,1.183463311391193,1.183463303745438,1.1834633190215171,positive
aida_phase1_v2,scgpt,inflammation_nfkb,ablate,507,-0.05628232599218675,-0.09333294239122518,-0.019686668759762348,negative,-0.025006642876487406,-0.03967380964731204,-0.010714605292770728,negative,,,,uncertain,-0.24920161711304065,-0.26416240066305513,-0.23437255027684095,negative
aida_phase1_v2,scgpt,inflammation_nfkb,old_push,507,-0.07221775909851781,-0.1094275092061789,-0.03552238480327084,negative,-0.032286098910329485,-0.046977338575518654,-0.017988947894848506,negative,,,,uncertain,-0.34151578180250713,-0.3415157835153723,-0.34151578001769034,negative
aida_phase1_v2,scgpt,inflammation_nfkb,random_push,507,-0.07034012720814674,-0.10769843194816303,-0.033146170074521114,negative,-0.02880343221725661,-0.04363996299583698,-0.01453438897355099,negative,,,,uncertain,0.0,0.0,0.0,uncertain
aida_phase1_v2,scgpt,inflammation_nfkb,young_push,507,-0.06453672978428762,-0.1021035686357919,-0.027428334713144042,negative,-0.029555256618149586,-0.04443724992629212,-0.015189853851773929,negative,,,,uncertain,0.34151578444085257,0.3415157813159773,0.3415157875741253,positive
