dataset_id,model,pathway,intervention,n_donors,delta_expected_age_mean_mean,delta_expected_age_mean_ci_low,delta_expected_age_mean_ci_high,delta_expected_age_mean_ci_flag,delta_old_prob_mean_mean,delta_old_prob_mean_ci_low,delta_old_prob_mean_ci_high,delta_old_prob_mean_ci_flag,delta_balanced_accuracy_mean,delta_balanced_accuracy_ci_low,delta_balanced_accuracy_ci_high,delta_balanced_accuracy_ci_flag,delta_pathway_activation_mean_mean,delta_pathway_activation_mean_ci_low,delta_pathway_activation_mean_ci_high,delta_pathway_activation_mean_ci_flag
aida_phase1_v2,geneformer,inflammation_nfkb,ablate,340,0.05242703488933437,5.629670761217645e-06,0.10661900371151088,positive,0.007817167473339227,-0.0141946501520983,0.029455590906254287,uncertain,,,,uncertain,-0.3997719293049372,-0.42947629624512046,-0.36903047009234263,negative
aida_phase1_v2,geneformer,inflammation_nfkb,old_push,340,0.0776217086448549,0.025085875783277388,0.13202544771355654,positive,0.009492138327313835,-0.012362387165658024,0.030951069526968994,uncertain,,,,uncertain,-1.1714204891666988,-1.1714204934125025,-1.1714204847593517,negative
aida_phase1_v2,geneformer,inflammation_nfkb,random_push,340,0.05458667655077692,0.0018231472587942857,0.10887828267086182,positive,0.01205148975040776,-0.009811449473874481,0.03367742756594091,uncertain,,,,uncertain,0.0,0.0,0.0,uncertain
aida_phase1_v2,geneformer,inflammation_nfkb,young_push,340,-9.409007357016526e-05,-0.05276399112876319,0.05440397389394555,uncertain,0.004162720514420013,-0.017649705772230143,0.025724500892210907,uncertain,,,,uncertain,1.1714204839129438,1.1714204756760804,1.17142049243749,positive
aida_phase1_v2,scgpt,inflammation_nfkb,ablate,340,0.0038243828287583097,-0.04671496624291358,0.05240824422619096,uncertain,-0.008122818107963814,-0.02657354501971063,0.009715455656559934,uncertain,,,,uncertain,-0.24412716905969908,-0.261805204740205,-0.22691512909498723,negative
aida_phase1_v2,scgpt,inflammation_nfkb,old_push,340,-0.06038533969952732,-0.11209309435727588,-0.011497266655077021,negative,-0.03424143091422418,-0.05263160542280519,-0.01674635017782264,negative,,,,uncertain,-0.3286918020949302,-0.3286918042590354,-0.32869179978656415,negative
aida_phase1_v2,scgpt,inflammation_nfkb,random_push,340,0.048352390907693714,-0.0019407793834782232,0.0963075355749518,uncertain,0.008692648566838494,-0.009839025593088763,0.02664673103977717,uncertain,,,,uncertain,0.0,0.0,0.0,uncertain
aida_phase1_v2,scgpt,inflammation_nfkb,young_push,340,0.12837474246257877,0.07850709300339548,0.176670680615784,positive,0.042031152905272574,0.02340996324630346,0.060420256896665435,positive,,,,uncertain,0.3286917974131511,0.32869179298635576,0.3286918020096388,positive
