dataset_id,dataset_path,representation,n_cells,input_dim,latent_dim,recon_mse,n_robust_features,top_feature_id,top_abs_donor_age_spearman,top_feature_donor_perm_p,top_feature_celltype_eta2
aida_phase1_v2,/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/subproject_51_longevity_age_mechinterp/implementation/data_downloads/raw/aida_phase1_v2.h5ad,scgpt_layer_09,1000,512,2048,0.048024822026491165,37,1983,0.21803216666567538,0.03225806451612903,0.26653185714261823
aida_phase1_v1,/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/subproject_51_longevity_age_mechinterp/implementation/data_downloads/raw/aida_phase1_v1.h5ad,scgpt_layer_09,1000,512,2048,0.048664651811122894,54,614,0.21717516120764332,0.03225806451612903,0.15833832700200154
